Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,2.0,0.0,2456.0,20.0,304.0,6528.0,0.0,137.81100000999933,137.81100000999933,0.0,710.5496771335602,,,,,,,,,,,,,,,,46.24113815126526,36.38963137517759,123.87757158359895,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,291.0,1.0,291.0,6819.0,0.0,231.51200000999998,231.51200000999998,0.0,891.5017795562744,,,,,,,,,,,,,,,,94.0219708085311,62.85074606944777,204.35596246718484,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,522.0,2.0,231.0,7050.0,0.0,167.31600000999998,167.31600000999998,0.0,907.4119746685028,,,,,,,,,,,,,,,,65.24615921032662,47.32110652887526,152.3965337661809,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,680.0,3.0,158.0,7208.0,0.0,127.91000000999996,127.91000000999996,0.0,918.4201557636261,,,,,,,,,,,,,,,,50.25868791152525,39.20216423752211,120.08921653651554,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,802.0,4.0,122.0,7330.0,0.0,80.21200000999998,80.21200000999998,0.0,927.0025947093964,,,,,,,,,,,,,,,,29.055186194984678,24.002371600293475,76.74401130551736,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,849.0,5.0,47.0,7377.0,0.0,15.91200000999999,15.91200000999999,0.0,930.6508009433746,,,,,,,,,,,,,,,,3.515694674866212,4.571690252881661,15.762524885166458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,902.0,6.0,53.0,7430.0,0.0,22.11100001000003,22.11100001000003,0.0,934.7278151512146,,,,,,,,,,,,,,,,5.821513529274209,6.60328624641656,21.824284077025492,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,974.0,7.0,72.0,7502.0,0.0,35.61300000999999,35.61300000999999,0.0,940.046630859375,,,,,,,,,,,,,,,,9.709324542865168,11.01632122700657,34.94887752043414,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,1043.0,8.0,69.0,7571.0,0.0,23.620000010000048,23.620000010000048,0.0,945.0979144573212,,,,,,,,,,,,,,,,5.287050764218152,6.757856294535371,23.278471979248188,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,1207.0,9.0,164.0,7735.0,0.0,86.5220000099999,86.5220000099999,0.0,956.582843542099,,,,,,,,,,,,,,,,26.740217095163587,26.091216536797255,82.21882322962274,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,1296.0,10.0,89.0,7824.0,0.0,39.018000009999994,39.018000009999994,0.0,963.0051836967468,,,,,,,,,,,,,,,,9.589145564828387,11.687594723040371,38.20276882355383,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,1434.0,11.0,138.0,7962.0,0.0,80.31300000999995,80.31300000999995,0.0,972.9705798625946,,,,,,,,,,,,,,,,29.199682292051033,23.49471920492568,76.35980365735432,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,1520.0,12.0,86.0,8048.0,0.0,49.314000009999994,49.314000009999994,0.0,979.1896851062775,,,,,,,,,,,,,,,,14.637084218345887,15.75956489633119,48.103314081303566,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,1622.0,13.0,102.0,8150.0,0.0,61.71400000999999,61.71400000999999,0.0,986.5758218765259,,,,,,,,,,,,,,,,19.333837485635183,19.509210219921993,59.801750336802016,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,1740.0,14.0,118.0,8268.0,0.0,68.42600001000001,68.42600001000001,0.0,994.9233372211456,,,,,,,,,,,,,,,,20.02130286930019,21.8711894839422,66.12961588730988,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,1786.0,15.0,46.0,8314.0,0.0,13.91200000999999,13.91200000999999,0.0,998.7785391807556,,,,,,,,,,,,,,,,3.0869473779566747,3.931555959805463,13.783784214828827,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,1902.0,16.0,116.0,8430.0,0.0,47.22200000999999,47.22200000999999,0.0,1006.9788730144501,,,,,,,,,,,,,,,,12.484729134137355,13.719868316551935,45.819591021461534,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
